timestamp, index, utilization.gpu [%], memory.used [MiB]
2025/10/01 01:05:13.600, 1, 0 %, 1 MiB
2025/10/01 01:05:43.601, 0, 0 %, 1 MiB
2025/10/01 01:05:43.601, 1, 0 %, 1 MiB
2025/10/01 01:06:13.602, 0, 0 %, 1 MiB
2025/10/01 01:06:13.602, 1, 0 %, 1 MiB
2025/10/01 01:06:43.603, 0, 0 %, 1 MiB
2025/10/01 01:06:43.603, 1, 0 %, 1 MiB
2025/10/01 01:07:13.604, 0, 0 %, 1 MiB
2025/10/01 01:07:13.604, 1, 0 %, 1 MiB
2025/10/01 01:07:43.605, 0, 0 %, 1 MiB
2025/10/01 01:07:43.605, 1, 0 %, 1 MiB
2025/10/01 01:08:13.606, 0, 0 %, 1 MiB
2025/10/01 01:08:13.606, 1, 0 %, 1 MiB
2025/10/01 01:08:43.607, 0, 0 %, 1 MiB
2025/10/01 01:08:43.607, 1, 0 %, 1 MiB
2025/10/01 01:09:13.608, 0, 0 %, 1 MiB
2025/10/01 01:09:13.608, 1, 0 %, 1 MiB
2025/10/01 01:09:43.608, 0, 0 %, 1 MiB
2025/10/01 01:09:43.608, 1, 0 %, 1 MiB
2025/10/01 01:10:13.609, 0, 0 %, 1 MiB
2025/10/01 01:10:13.609, 1, 0 %, 1 MiB
2025/10/01 01:10:43.610, 0, 0 %, 1 MiB
2025/10/01 01:10:43.610, 1, 0 %, 1 MiB
2025/10/01 01:11:13.611, 0, 0 %, 1 MiB
2025/10/01 01:11:13.612, 1, 0 %, 1 MiB
2025/10/01 01:11:43.613, 0, 0 %, 1 MiB
2025/10/01 01:11:43.613, 1, 0 %, 1 MiB
2025/10/01 01:12:13.614, 0, 0 %, 1 MiB
2025/10/01 01:12:13.614, 1, 0 %, 1 MiB
2025/10/01 01:12:43.614, 0, 0 %, 1 MiB
2025/10/01 01:12:43.615, 1, 0 %, 1 MiB
2025/10/01 01:13:13.615, 0, 0 %, 1 MiB
2025/10/01 01:13:13.616, 1, 0 %, 1 MiB
2025/10/01 01:13:43.616, 0, 0 %, 1 MiB
2025/10/01 01:13:43.617, 1, 0 %, 1 MiB
2025/10/01 01:14:13.617, 0, 0 %, 1 MiB
2025/10/01 01:14:13.618, 1, 0 %, 1 MiB
2025/10/01 01:14:43.618, 0, 0 %, 1 MiB
2025/10/01 01:14:43.619, 1, 0 %, 1 MiB
2025/10/01 01:15:13.619, 0, 0 %, 1 MiB
2025/10/01 01:15:13.620, 1, 0 %, 1 MiB
2025/10/01 01:15:43.620, 0, 0 %, 1 MiB
2025/10/01 01:15:43.621, 1, 0 %, 1 MiB
2025/10/01 01:16:13.621, 0, 0 %, 1 MiB
2025/10/01 01:16:13.621, 1, 0 %, 1 MiB
2025/10/01 01:16:43.622, 0, 0 %, 1 MiB
2025/10/01 01:16:43.622, 1, 0 %, 1 MiB
2025/10/01 01:17:13.623, 0, 0 %, 1 MiB
2025/10/01 01:17:13.623, 1, 0 %, 1 MiB
2025/10/01 01:17:43.623, 0, 0 %, 1 MiB
2025/10/01 01:17:43.624, 1, 0 %, 1 MiB
2025/10/01 01:18:13.624, 0, 0 %, 1 MiB
2025/10/01 01:18:13.624, 1, 0 %, 1 MiB
2025/10/01 01:18:43.625, 0, 0 %, 1 MiB
2025/10/01 01:18:43.625, 1, 0 %, 1 MiB
2025/10/01 01:19:13.626, 0, 0 %, 1 MiB
2025/10/01 01:19:13.626, 1, 0 %, 1 MiB
2025/10/01 01:19:43.627, 0, 0 %, 1 MiB
2025/10/01 01:19:43.627, 1, 0 %, 1 MiB
2025/10/01 01:20:13.628, 0, 0 %, 2698 MiB
2025/10/01 01:20:13.628, 1, 12 %, 5518 MiB
2025/10/01 01:20:43.628, 0, 23 %, 5810 MiB
2025/10/01 01:20:43.628, 1, 35 %, 8718 MiB
2025/10/01 01:21:13.628, 0, 24 %, 5810 MiB
2025/10/01 01:21:13.628, 1, 45 %, 8718 MiB
2025/10/01 01:21:43.629, 0, 17 %, 5810 MiB
2025/10/01 01:21:43.629, 1, 39 %, 9682 MiB
2025/10/01 01:22:13.630, 0, 24 %, 7000 MiB
2025/10/01 01:22:13.630, 1, 39 %, 11242 MiB
